home_possession,home_dribbles_won,tournament_name,away_team_link,home_pass_success,tournament_link,half_time,home_tackles,away_dribbles_won,country,away_shots_on_target,home_shots_on_target,away_aerial_duel_success,match_report_link,away_team_name,date,home_team_name,home_shots,home_team_link,away_possession,home_aerial_duel_success,match_link,away_tackles,away_shots,away_pass_success,full_time,kick_off
71%,12,Championship - 2016/2017,/Teams/157,84%,/Regions/252/Tournaments/7/Seasons/6365,0 : 1,17,3,England,3,6,43%,https://www.whoscored.com/Matches/1084924/MatchReport/England-Championship-2016-2017-Wigan-Birmingham,Birmingham,"Tue, 16-Aug-16",Wigan,20,/Teams/194,29%,57%,https://www.whoscored.com/Matches/1084924/Live,18,6,63%,1 : 1,19:45
51%,7,Championship - 2016/2017,/Teams/158,68%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,18,0,England,2,5,55%,https://www.whoscored.com/Matches/1085005/MatchReport/England-Championship-2016-2017-Birmingham-Blackburn,Blackburn,"Sat, 01-Oct-16",Birmingham,16,/Teams/157,49%,45%,https://www.whoscored.com/Matches/1085005/Live,6,10,71%,1 : 0,15:00
34%,5,Championship - 2016/2017,/Teams/171,52%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,20,8,England,5,10,45%,https://www.whoscored.com/Matches/1085165/MatchReport/England-Championship-2016-2017-Rotherham-Queens-Park-Rangers,QPR,"Sat, 10-Dec-16",Rotherham,17,/Teams/210,66%,55%,https://www.whoscored.com/Matches/1085165/Live,10,15,74%,1 : 0,15:00
45%,12,Championship - 2016/2017,/Teams/168,74%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,21,15,England,2,7,50%,https://www.whoscored.com/Matches/1085116/MatchReport/England-Championship-2016-2017-Brighton-Norwich,Norwich,"Sat, 29-Oct-16",Brighton,11,/Teams/211,55%,50%,https://www.whoscored.com/Matches/1085116/Live,13,8,78%,5 : 0,15:00
56%,12,Championship - 2016/2017,/Teams/182,80%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,18,11,England,2,5,33%,https://www.whoscored.com/Matches/1084918/MatchReport/England-Championship-2016-2017-Norwich-Bristol-City,Bristol City,"Tue, 16-Aug-16",Norwich,15,/Teams/168,44%,67%,https://www.whoscored.com/Matches/1084918/Live,24,6,74%,1 : 0,19:45
52%,10,Championship - 2016/2017,/Teams/189,77%,/Regions/252/Tournaments/7/Seasons/6365,2 : 0,21,6,England,2,6,53%,https://www.whoscored.com/Matches/1085010/MatchReport/England-Championship-2016-2017-Newcastle-United-Brentford,Brentford,"Sat, 15-Oct-16",Newcastle,15,/Teams/23,48%,47%,https://www.whoscored.com/Matches/1085010/Live,14,7,73%,3 : 1,15:00
32%,4,Championship - 2016/2017,/Teams/94,66%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,13,6,England,2,3,50%,https://www.whoscored.com/Matches/1084899/MatchReport/England-Championship-2016-2017-Cardiff-Reading,Reading,"Sat, 27-Aug-16",Cardiff,11,/Teams/188,68%,50%,https://www.whoscored.com/Matches/1084899/Live,8,10,82%,0 : 1,15:00
62%,16,Championship - 2016/2017,/Teams/188,87%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,9,8,England,3,4,43%,https://www.whoscored.com/Matches/1084906/MatchReport/England-Championship-2016-2017-Fulham-Cardiff,Cardiff,"Sat, 20-Aug-16",Fulham,17,/Teams/170,38%,57%,https://www.whoscored.com/Matches/1084906/Live,15,9,78%,2 : 2,15:00
64%,9,Championship - 2016/2017,/Teams/157,84%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,9,5,England,8,1,52%,https://www.whoscored.com/Matches/1084917/MatchReport/England-Championship-2016-2017-Fulham-Birmingham,Birmingham,"Sat, 10-Sep-16",Fulham,10,/Teams/170,36%,48%,https://www.whoscored.com/Matches/1084917/Live,24,25,71%,0 : 1,15:00
61%,7,Championship - 2016/2017,/Teams/165,76%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,14,8,England,2,5,44%,https://www.whoscored.com/Matches/1084950/MatchReport/England-Championship-2016-2017-Derby-Ipswich,Ipswich,"Tue, 13-Sep-16",Derby,24,/Teams/20,39%,56%,https://www.whoscored.com/Matches/1084950/Live,18,5,60%,0 : 1,19:45
48%,5,Championship - 2016/2017,/Teams/157,75%,/Regions/252/Tournaments/7/Seasons/6365,1 : 1,17,3,England,4,3,51%,https://www.whoscored.com/Matches/1085170/MatchReport/England-Championship-2016-2017-Blackburn-Birmingham,Birmingham,"Sat, 21-Jan-17",Blackburn,10,/Teams/158,52%,49%,https://www.whoscored.com/Matches/1085170/Live,17,11,73%,1 : 1,15:00
57%,12,Championship - 2016/2017,/Teams/189,77%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,16,2,England,4,1,56%,https://www.whoscored.com/Matches/1085110/MatchReport/England-Championship-2016-2017-Leeds-Brentford,Brentford,"Sat, 17-Dec-16",Leeds,6,/Teams/19,43%,44%,https://www.whoscored.com/Matches/1085110/Live,24,10,66%,1 : 0,15:00
42%,5,Championship - 2016/2017,/Teams/181,57%,/Regions/252/Tournaments/7/Seasons/6365,0 : 2,14,11,England,6,5,63%,https://www.whoscored.com/Matches/1085074/MatchReport/England-Championship-2016-2017-Rotherham-Preston,Preston,"Sat, 05-Nov-16",Rotherham,14,/Teams/210,58%,37%,https://www.whoscored.com/Matches/1085074/Live,20,14,69%,1 : 3,15:00
64%,5,Championship - 2016/2017,/Teams/25,84%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,9,3,England,5,4,43%,https://www.whoscored.com/Matches/1085161/MatchReport/England-Championship-2016-2017-Newcastle-United-Sheffield-Wednesday,Sheffield Wednesday,"Mon, 26-Dec-16",Newcastle United,9,/Teams/23,36%,57%,https://www.whoscored.com/Matches/1085161/Live,18,13,74%,0 : 1,19:45
47%,8,Championship - 2016/2017,/Teams/171,66%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,22,9,England,3,5,51%,https://www.whoscored.com/Matches/1084887/MatchReport/England-Championship-2016-2017-Barnsley-Queens-Park-Rangers,QPR,"Wed, 17-Aug-16",Barnsley,12,/Teams/142,53%,49%,https://www.whoscored.com/Matches/1084887/Live,18,12,70%,3 : 2,19:45
52%,9,Championship - 2016/2017,/Teams/1786,73%,/Regions/252/Tournaments/7/Seasons/6365,1 : 1,14,5,England,2,5,39%,https://www.whoscored.com/Matches/1085148/MatchReport/England-Championship-2016-2017-Brentford-Burton,Burton,"Sat, 10-Dec-16",Brentford,11,/Teams/189,48%,61%,https://www.whoscored.com/Matches/1085148/Live,8,8,69%,2 : 1,15:00
50%,4,Championship - 2016/2017,/Teams/165,70%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,9,4,England,2,2,55%,https://www.whoscored.com/Matches/1084894/MatchReport/England-Championship-2016-2017-Wolverhampton-Wanderers-Ipswich,Ipswich,"Tue, 16-Aug-16",Wolverhampton Wanderers,6,/Teams/161,50%,45%,https://www.whoscored.com/Matches/1084894/Live,21,11,63%,0 : 0,19:45
54%,9,Championship - 2016/2017,/Teams/210,79%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,13,4,England,2,9,37%,https://www.whoscored.com/Matches/1084925/MatchReport/England-Championship-2016-2017-Barnsley-Rotherham,Rotherham,"Sat, 27-Aug-16",Barnsley,18,/Teams/142,46%,63%,https://www.whoscored.com/Matches/1084925/Live,24,12,72%,4 : 0,15:00
65%,6,Championship - 2016/2017,/Teams/166,86%,/Regions/252/Tournaments/7/Seasons/6365,0 : 1,17,5,England,3,4,42%,https://www.whoscored.com/Matches/1084881/MatchReport/England-Championship-2016-2017-Newcastle-United-Huddersfield,Huddersfield,"Sat, 13-Aug-16",Newcastle,13,/Teams/23,35%,58%,https://www.whoscored.com/Matches/1084881/Live,37,8,72%,1 : 2,15:00
55%,7,Championship - 2016/2017,/Teams/171,76%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,23,6,England,4,2,41%,https://www.whoscored.com/Matches/1085086/MatchReport/England-Championship-2016-2017-Sheffield-Wednesday-Queens-Park-Rangers,Queens Park Rangers,"Sat, 22-Oct-16",Sheffield Wednesday,13,/Teams/25,45%,59%,https://www.whoscored.com/Matches/1085086/Live,10,10,72%,1 : 0,15:00
56%,8,Championship - 2016/2017,/Teams/174,68%,/Regions/252/Tournaments/7/Seasons/6365,0 : 1,11,5,England,2,4,51%,https://www.whoscored.com/Matches/1085012/MatchReport/England-Championship-2016-2017-Bristol-City-Nottingham-Forest,Nottingham Forest,"Sat, 01-Oct-16",Bristol City,12,/Teams/182,44%,49%,https://www.whoscored.com/Matches/1085012/Live,19,12,58%,2 : 1,15:00
56%,7,Championship - 2016/2017,/Teams/188,64%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,23,0,England,3,4,46%,https://www.whoscored.com/Matches/1085153/MatchReport/England-Championship-2016-2017-Bristol-City-Cardiff,Cardiff,"Sat, 14-Jan-17",Bristol City,12,/Teams/182,44%,54%,https://www.whoscored.com/Matches/1085153/Live,16,9,53%,2 : 3,12:00
56%,14,Championship - 2016/2017,/Teams/189,78%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,16,12,England,3,3,39%,https://www.whoscored.com/Matches/1084987/MatchReport/England-Championship-2016-2017-Derby-Brentford,Brentford,"Tue, 18-Oct-16",Derby,14,/Teams/20,44%,61%,https://www.whoscored.com/Matches/1084987/Live,11,9,68%,0 : 0,19:45
58%,5,Championship - 2016/2017,/Teams/25,81%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,18,4,England,3,4,48%,https://www.whoscored.com/Matches/1085164/MatchReport/England-Championship-2016-2017-Reading-Sheffield-Wednesday,Sheff Wed,"Sat, 10-Dec-16",Reading,12,/Teams/94,42%,52%,https://www.whoscored.com/Matches/1085164/Live,13,18,74%,2 : 1,15:00
42%,2,Championship - 2016/2017,/Teams/24,55%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,19,12,England,0,4,43%,https://www.whoscored.com/Matches/1084931/MatchReport/England-Championship-2016-2017-Ipswich-Aston-Villa,Aston Villa,"Sat, 17-Sep-16",Ipswich,17,/Teams/165,58%,57%,https://www.whoscored.com/Matches/1084931/Live,14,14,73%,0 : 0,15:00
42%,3,Championship - 2016/2017,/Teams/1786,69%,/Regions/252/Tournaments/7/Seasons/6365,1 : 1,9,5,England,3,6,54%,https://www.whoscored.com/Matches/1084900/MatchReport/England-Championship-2016-2017-Blackburn-Burton,Burton,"Sat, 20-Aug-16",Blackburn,12,/Teams/158,58%,46%,https://www.whoscored.com/Matches/1084900/Live,14,14,72%,2 : 2,15:00
51%,2,Championship - 2016/2017,/Teams/171,76%,/Regions/252/Tournaments/7/Seasons/6365,1 : 1,17,4,England,4,8,43%,https://www.whoscored.com/Matches/1085168/MatchReport/England-Championship-2016-2017-Newcastle-United-Queens-Park-Rangers,QPR,"Wed, 01-Feb-17",Newcastle,16,/Teams/23,49%,57%,https://www.whoscored.com/Matches/1085168/Live,21,9,70%,2 : 2,19:45
47%,4,Championship - 2016/2017,/Teams/161,58%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,16,8,England,7,6,50%,https://www.whoscored.com/Matches/1084898/MatchReport/England-Championship-2016-2017-Birmingham-Wolverhampton-Wanderers,Wolverhampton Wanderers,"Sat, 20-Aug-16",Birmingham,14,/Teams/157,53%,50%,https://www.whoscored.com/Matches/1084898/Live,15,19,70%,1 : 3,15:00
37%,9,Championship - 2016/2017,/Teams/174,71%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,19,3,England,7,4,65%,https://www.whoscored.com/Matches/1084961/MatchReport/England-Championship-2016-2017-Rotherham-Nottingham-Forest,Nottingham Forest,"Wed, 14-Sep-16",Rotherham,14,/Teams/210,63%,35%,https://www.whoscored.com/Matches/1084961/Live,12,23,83%,2 : 2,19:45
33%,8,Championship - 2016/2017,/Teams/170,67%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,11,12,England,4,3,42%,https://www.whoscored.com/Matches/1085217/MatchReport/England-Championship-2016-2017-Burton-Fulham,Fulham,"Wed, 01-Feb-17",Burton,11,/Teams/1786,67%,58%,https://www.whoscored.com/Matches/1085217/Live,10,19,84%,0 : 2,19:45
55%,14,Championship - 2016/2017,/Teams/194,66%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,20,17,England,2,2,57%,https://www.whoscored.com/Matches/1085009/MatchReport/England-Championship-2016-2017-Brentford-Wigan,Wigan,"Sat, 01-Oct-16",Brentford,15,/Teams/189,45%,43%,https://www.whoscored.com/Matches/1085009/Live,17,7,70%,0 : 0,15:00
38%,9,Championship - 2016/2017,/Teams/25,80%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,13,3,England,8,6,53%,https://www.whoscored.com/Matches/1085126/MatchReport/England-Championship-2016-2017-Derby-Sheffield-Wednesday,Sheffield Wednesday,"Sat, 29-Oct-16",Derby,18,/Teams/20,62%,47%,https://www.whoscored.com/Matches/1085126/Live,16,18,88%,2 : 0,15:00
45%,7,Championship - 2016/2017,/Teams/25,73%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,14,4,England,2,6,52%,https://www.whoscored.com/Matches/1084971/MatchReport/England-Championship-2016-2017-Birmingham-Sheffield-Wednesday,Sheff Wed,"Sat, 17-Sep-16",Birmingham,11,/Teams/157,55%,48%,https://www.whoscored.com/Matches/1084971/Live,25,11,79%,2 : 1,17:30
